customer_name,type,node
"Negros Oriental II Electric Cooperative, Inc.",DU,Amlan
"Negros Oriental II Electric Cooperative, Inc.",DU,Mabinay
Neovia Philippines Inc.,CC,Colon
New Carcar Manufacturing Inc. (formerly Steel Asia Manufacturing Corp.),CC,Naga
NKC Manufacturing Philippines Corp.,CC,Lapu-Lapu
NKC Manufacturing Philippines Corporation,CC,Lapu-Lapu
"North Negros Biopower, Inc.",CC,Cadiz
"Northern Negros Electric Cooperative, Inc.",DU,Cadiz
"Northern Samar Electric Cooperative, Inc.",DU,Calbayog
Oakridge Realty Development Corporation,CC,Mandaue
Oikonomos International Resources Corp.,CC,Lapu-Lapu
"Orica Nitrates Philippines, Inc.",CC,Amlan
Oversea Feeds Corporation,CC,Colon
Palm Concepcion Power Corporation,CC,Conception
Panay Power Corporation,CC,Nabas
Pepsi Cola Products Philippines,CC,Sta. Barbara 
"Pepsi Cola Products Philippines, Inc.",CC,Colon
Perpetual Succour Hospital,CC,Quiot
PetroWind Energy Inc.,CC,Nabas
"Phil. Spring Water Resources, Inc.",CC,Mandaue
Philippine Associated Smelting & Refining Corporation,CC,Isabel
Philippine BXT Corporation (Jpark Island Resort),CC,Lapu-Lapu
Philippine Foremost Milling Corporation,CC,Sta. Barbara 
"Philippine Integrated Energy Solutions, Inc.",CC,Cebu
Philippine Mining Service Corporation - Alcoy Plant,CC,Naga
Philippine Mining Service Corporation - Bohol Plant,CC,Ubay
Philippine Phosphate Fertilizer Corporation,CC,Isabel
"Philippine Spring Water Resources, Inc.",CC,Mandaue
Power Sector Assets & Liabilities Management Corporation,CC,Kananga
Primary Properties Corp. i1,CC,Cebu
Primary Properties Corp. i2 & i3,CC,Cebu
Primary Properties Corporation (North Park),CC,Mandaue
Producer Feed Mill Inc.,CC,Mandaue
Profood International Corporation,CC,Mandaue
"Pulp Specialties Philippines, Inc.",CC,Ormoc
QHP Realty Corporation,CC,Iloilo 1
"Republic Cement & Building Materials, Inc.",CC,Compostela
Riverside Medical Center Inc.,CC,Bacolod
Robinsons Land Corporation - (Galleria Cebu),CC,Quiot
Robinsons Land Corporation (Cybergate),CC,Quiot
Robinsons Land Corporation (Dumaguete),CC,Amlan
Robinsons Land Corporation (Fuente),CC,Quiot
Robinsons Land Corporation (Tacloban),CC,Babatngon
Robinsons Land Corporation Antique,CC,San Jose
Robinsons Land Corporation North Tacloban,CC,Babatngon
Robinsons Land Corporation- Roxas,CC,Panit-An
Roxol Bioenergy Corporation,CC,Bacolod
"Rustan's Supercenters, Inc.",CC,Quiot
Samar Coco Products Manufacturing Corporation,CC,Calbayog
"Samar I Electric Cooperative, Inc.",DU,Calbayog
"Samar II Electric Cooperative, Inc.",DU,Paranas
"Samar II Electric Cooperative, Inc.",DU,Sta. Rita
"San Carlos Bioenergy, Inc.",CC,Cadiz
"San Carlos Sun Power, Inc.",CC,Amlan
